PlayerID,SportsDataID,Status,TeamID,Team,Jersey,PositionCategory,Position,MLBAMID,FirstName,LastName,BatHand,ThrowHand,Height,Weight,BirthDate,BirthCity,BirthState,BirthCountry,HighSchool,College,ProDebut,Salary,PhotoUrl,SportRadarPlayerID,RotoworldPlayerID,RotoWirePlayerID,FantasyAlarmPlayerID,StatsPlayerID,SportsDirectPlayerID,XmlTeamPlayerID,InjuryStatus,InjuryBodyPart,InjuryStartDate,InjuryNotes,FanDuelPlayerID,DraftKingsPlayerID,YahooPlayerID,UpcomingGameID,FanDuelName,DraftKingsName,YahooName,GlobalTeamID,FantasyDraftName,FantasyDraftPlayerID,Experience,UsaTodayPlayerID,UsaTodayHeadshotUrl,UsaTodayHeadshotNoBackgroundUrl,UsaTodayHeadshotUpdated,UsaTodayHeadshotNoBackgroundUpdated
10000022,,Minors,15,SF,54.0,P,RP,519186.0,Matt,Reynolds,L,L,77.0,240.0,1984-10-02T00:00:00,Saint Charles,IL,USA,,Austin Peay,,,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/mlb/low-res/10000022.png,a0ab9ee0-ece2-4733-ba4f-0d97cab3fbad,,11762.0,100702.0,389296.0,105571.0,8377.0,Scrambled,Scrambled,,Scrambled,12504.0,389296.0,8788.0,62967.0,Matt Reynolds,Matt Reynolds,Matt Reynolds,10000015,Matt Reynolds,645392.0,6,,,,,
10000032,,Minors,15,SF,7.0,IF,2B,431094.0,Aaron,Hill,R,R,71.0,198.0,1982-03-21T20:00:00,Visalia,CA,USA,,LSU,,,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/mlb/low-res/10000032.png,12831550-c4ba-463b-9847-6ba08b1eb462,1326.0,7624.0,100085.0,225985.0,42368.0,4171.0,Scrambled,Scrambled,,Scrambled,5557.0,225985.0,7483.0,62967.0,Aaron Hill,Aaron Hill,Aaron Hill,10000015,Aaron Hill,872372.0,13,,,,,
10000048,,Minors,15,SF,31.0,P,P,545404.0,Brandon,Beachy,R,R,74.0,215.0,1986-09-03T00:00:00,Kokomo,IN,USA,,Indiana Wesleyan,,1450000.0,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/mlb/low-res/10000048.png,928da104-7f7d-4ce2-beb0-a7cbb377d6e8,,11660.0,100647.0,463325.0,106645.0,8419.0,Scrambled,Scrambled,,Scrambled,12676.0,463325.0,8837.0,62967.0,,Brandon Beachy,,10000015,,,5,758899.0,http://cdn.usatsimg.com/api/download/?imageID=9191316,,2016-03-17T20:11:13,
10000071,,Active,15,SF,57.0,P,SP,622072.0,Alex,Wood,R,L,76.0,215.0,1991-01-12T00:00:00,Charlotte,NC,USA,,Georgia,2013-05-30T00:00:00,2800000.0,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/mlb/low-res/10000071.png,956280da-4ce3-41db-8830-e04ef52bb0f2,7429.0,12488.0,100658.0,621049.0,114276.0,10548.0,Scrambled,Scrambled,2021-04-18T00:00:00,Scrambled,38028.0,621049.0,9415.0,,Alex Wood,Alex Wood,Alex Wood,10000015,Alex Wood,621049.0,7,8270615.0,http://cdn.usatsimg.com/api/download/?imageID=15783681,http://cdn.usatsimg.com/api/download/?imageID=15783685,2021-03-23T20:41:56,2021-03-23T20:42:58
10000101,,Active,15,SF,34.0,P,SP,592332.0,Kevin,Gausman,L,R,75.0,190.0,1991-01-06T00:00:00,Centennial,CO,USA,,Louisiana State,2013-05-23T00:00:00,,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/mlb/low-res/10000101.png,cef2e01f-1349-4e31-bf1e-757ae8cb6bc6,7026.0,11473.0,100893.0,548347.0,114195.0,8956.0,Scrambled,Scrambled,2021-07-19T00:00:00,Scrambled,38000.0,548347.0,9334.0,,Kevin Gausman,Kevin Gausman,Kevin Gausman,10000015,Kevin Gausman,548347.0,7,8270570.0,http://cdn.usatsimg.com/api/download/?imageID=15783635,http://cdn.usatsimg.com/api/download/?imageID=15783650,2021-03-23T20:35:32,2021-03-23T20:36:49
10000115,,Minors,15,SF,58.0,P,RP,444436.0,Ryan,Webb,R,R,78.0,245.0,1986-02-05T00:00:00,Clearwater,FL,USA,,,,,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/mlb/low-res/10000115.png,5d955417-1d53-4666-ad92-49c9aa808d2f,5704.0,8802.0,100391.0,254200.0,43729.0,4889.0,Scrambled,Scrambled,,Scrambled,5042.0,254200.0,8524.0,62967.0,Ryan Webb,Ryan Webb,Ryan Webb,10000015,,,8,,,,,
10000215,,Minors,15,SF,18.0,IF,2B,600303.0,Tommy,La Stella,L,R,71.0,180.0,1989-01-31T00:00:00,Westwood,NJ,USA,,Coastal Carolina,2014-05-28T00:00:00,573500.0,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/mlb/low-res/10000215.png,1aa81f68-bb3d-4422-a3df-2ae436c946c6,7601.0,12430.0,100124.0,598119.0,113497.0,9874.0,Scrambled,Scrambled,2021-08-02T00:00:00,Scrambled,17198.0,598119.0,9545.0,,Tommy La Stella,Tommy La Stella,Tommy La Stella,10000015,Tommy La Stella,598119.0,6,8270580.0,http://cdn.usatsimg.com/api/download/?imageID=15783542,http://cdn.usatsimg.com/api/download/?imageID=15783539,2021-03-23T20:25:03,2021-03-23T20:24:59
10000262,,Minors,15,SF,21.0,IF,3B,543216.0,Conor,Gillaspie,L,R,73.0,195.0,1987-07-18T00:00:00,Omaha,NE,USA,,Wichita State,,,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/mlb/low-res/10000262.png,f6aad1bd-fb2f-4c2e-92a5-8fe15f6ca36f,5453.0,10517.0,101071.0,454402.0,43607.0,6855.0,Scrambled,Scrambled,,Scrambled,12855.0,454402.0,8378.0,62967.0,Conor Gillaspie,Conor Gillaspie,Conor Gillaspie,10000015,Conor Gillaspie,872360.0,8,764756.0,http://cdn.usatsimg.com/api/download/?imageID=9944466,,2017-03-15T21:45:44,
10000282,,Active,15,SF,47.0,P,SP,456501.0,Johnny,Cueto,R,R,71.0,229.0,1986-02-15T00:00:00,San Pedro de Macoris,,Dominican Republic,,None,2008-04-03T00:00:00,,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/mlb/low-res/10000282.png,1a574c70-eb33-4202-ab97-548645a4d15e,4660.0,9262.0,100122.0,295352.0,43462.0,6826.0,Scrambled,Scrambled,,Scrambled,5498.0,295352.0,8172.0,62967.0,Johnny Cueto,Johnny Cueto,Johnny Cueto,10000015,Johnny Cueto,295352.0,12,8270558.0,http://cdn.usatsimg.com/api/download/?imageID=15783717,http://cdn.usatsimg.com/api/download/?imageID=15783721,2021-03-23T20:49:56,2021-03-23T20:50:55
10000284,,Active,15,SF,26.0,P,SP,543101.0,Anthony,DeSclafani,R,R,73.0,195.0,1990-04-18T00:00:00,Freehold,NJ,USA,,Florida,2014-05-14T00:00:00,,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/mlb/low-res/10000284.png,07af23d5-a3b9-4526-9e89-8c7f9f5facb4,7285.0,12755.0,100033.0,455459.0,113932.0,10293.0,Scrambled,Scrambled,,Scrambled,53607.0,455459.0,9703.0,,Anthony DeSclafani,Anthony DeSclafani,Anthony DeSclafani,10000015,Anthony DeSclafani,455459.0,5,8270561.0,http://cdn.usatsimg.com/api/download/?imageID=15783505,http://cdn.usatsimg.com/api/download/?imageID=15783506,2021-03-23T20:20:28,2021-03-23T20:20:30
