StadiumID,Active,Name,City,State,Country,Capacity,Surface,LeftField,MidLeftField,LeftCenterField,MidLeftCenterField,CenterField,MidRightCenterField,RightCenterField,MidRightField,RightField,GeoLat,GeoLong,Altitude,HomePlateDirection,Type
1,True,PETCO Park,San Diego,CA,USA,41164.0,Grass,334.0,351.0,367.0,402.0,396.0,403.0,378.0,351.0,322.0,32.7073,-117.1566,14.0,180.0,Outdoor
2,True,Turner Field,Atlanta,GA,USA,49586.0,Grass,335.0,360.0,380.0,394.0,401.0,394.0,390.0,358.0,330.0,33.734805,-84.389996,939.0,150.0,Outdoor
3,True,Salt River Fields at Talking Stick,,,,,,,,,,,,,,,,,,,
4,True,Cubs Park,,,,,,,,,,,,,,,,,,,
5,True,JetBlue Park,,,,,,,,,,,,,,,,,,,
6,True,Hammond Stadium,,,,,,,,,,,,,,,,,,,
7,True,Peoria Stadium,,,,,,,,,,,,,,,,,,,
8,True,Citi Field,New York,NY,USA,41922.0,Grass,335.0,371.0,384.0,394.0,408.0,415.0,378.0,372.0,330.0,40.756944,-73.845833,13.0,165.0,Outdoor
9,True,State Mutual Stadium,,,,,,,,,,,,,,,,,,,
10,True,Progressive Field,Cleveland,OH,USA,37675.0,Grass,325.0,369.0,368.0,385.0,405.0,388.0,375.0,364.0,325.0,41.495833,-81.685278,673.0,180.0,Outdoor
11,True,NL City,,,,,,,,,,,,,,,,,,,
12,True,TBD,,,,,,,,,,,,,,,,,,,
13,True,Oracle Park,San Francisco,CA,USA,41915.0,Grass,339.0,346.0,382.0,389.0,399.0,399.0,421.0,368.0,309.0,37.778611,-122.389167,8.0,90.0,Outdoor
14,True,Target Field,Minneapolis,MN,USA,39021.0,Grass,339.0,355.0,377.0,390.0,404.0,392.0,367.0,344.0,328.0,44.981667,-93.278333,840.0,105.0,Outdoor
15,True,McKechnie Field,,,,,,,,,,,,,,,,,,,
16,True,Louisville Slugger Field,,,,,,,,,,,,,,,,,,,
17,True,Champion Stadium,,,,,,,,,,,,,,,,,,,
18,True,Tropicana Field,St. Petersburg,FL,USA,31042.0,AstroTurf,315.0,354.0,370.0,410.0,404.0,404.0,370.0,342.0,322.0,27.768333,-82.653333,41.0,135.0,Dome
19,True,Miller Park,Milwaukee,WI,USA,41900.0,Grass,344.0,359.0,370.0,379.0,400.0,386.0,374.0,354.0,345.0,43.028333,-87.971111,602.0,45.0,RetractableDome
20,True,AutoZone Park,,,,,,,,,,,,,,,,,,,
21,True,Globe Life Park in Arlington,Arlington,TX,USA,48114.0,Grass,354.0,357.0,390.0,406.0,400.0,407.0,379.0,356.0,349.0,32.751389,-97.082778,549.0,45.0,Outdoor
22,True,Oriole Park at Camden Yards,Baltimore,MD,USA,45971.0,Grass,333.0,368.0,364.0,378.0,410.0,400.0,373.0,341.0,318.0,39.283889,-76.621667,35.0,150.0,Outdoor
23,True,Oakland Coliseum,Oakland,CA,USA,35067.0,Grass,330.0,367.0,362.0,388.0,400.0,388.0,362.0,367.0,330.0,37.751667,-122.200556,0.0,135.0,Outdoor
24,True,Florida Auto Exchange Stadium,,,,,,,,,,,,,,,,,,,
25,True,Guaranteed Rate Field,Chicago,IL,USA,40615.0,Grass,330.0,365.0,377.0,385.0,400.0,385.0,372.0,365.0,335.0,41.829908,-87.633889,594.0,45.0,Outdoor
26,True,London Stadium,,,,,Grass,,,,,,,,,,51.538611,-0.016389,,,
27,True,Wrigley Field,Chicago,IL,USA,40929.0,Grass,355.0,356.0,368.0,391.0,400.0,397.0,368.0,356.0,353.0,41.948038,-87.65568,599.0,150.0,Outdoor
28,True,Angel Stadium of Anaheim,Anaheim,CA,USA,43250.0,Grass,330.0,348.0,376.0,387.0,408.0,383.0,362.0,359.0,330.0,33.800278,-117.882778,154.0,135.0,Outdoor
29,True,PNC Park,Pittsburgh,PA,USA,38362.0,Grass,325.0,370.0,389.0,410.0,399.0,393.0,375.0,353.0,320.0,40.446944,-80.005833,724.0,60.0,Outdoor
30,True,Tradition Field,,,,,,,,,,,,,,,,,,,
31,True,Dodger Stadium,Los Angeles,CA,USA,56000.0,Grass,330.0,380.0,385.0,390.0,395.0,390.0,385.0,380.0,330.0,34.073611,-118.240646,501.0,150.0,Outdoor
32,True,Tempe Diablo Stadium,,,,,,,,,,,,,,,,,,,
33,True,Kauffman Stadium,Kansas City,MO,USA,37903.0,Grass,330.0,351.0,387.0,390.0,410.0,390.0,387.0,351.0,330.0,39.051098,-94.48,886.0,135.0,Outdoor
34,True,Roger Dean Stadium,,,,,,,,,,,,,,,,,,,
35,True,Yankee Stadium,New York,NY,USA,49642.0,Grass,318.0,357.0,399.0,400.0,408.0,396.0,385.0,346.0,314.0,40.829167,-73.926389,11.0,105.0,Outdoor
36,True,Montgomery Riverwalk Stadium,,,,,,,,,,,,,,,,,,,
37,True,Harbor Park,,,,,,,,,,,,,,,,,,,
38,True,Osceola County Stadium,,,,,,,,,,,,,,,,,,,
39,True,Bright House Field,,,,,,,,,,,,,,,,,,,
40,True,Sydney Cricket Ground,,,,,,,,,,,,,,,,,,,
41,True,Busch Stadium,St. Louis,MO,USA,43975.0,Grass,336.0,354.0,390.0,392.0,400.0,392.0,390.0,354.0,335.0,38.6225,-90.193056,438.0,120.0,Outdoor
42,True,Rogers Centre,Toronto,ON,Canada,49282.0,AstroTurf,328.0,348.0,375.0,391.0,400.0,391.0,375.0,348.0,328.0,43.641389,-79.389167,268.0,210.0,RetractableDome
43,True,Phoenix Municipal Stadium,,,,,,,,,,,,,,,,,,,
44,True,Coors Field,Denver,CO,USA,50398.0,Grass,347.0,361.0,390.0,397.0,415.0,391.0,375.0,365.0,350.0,39.756111,-104.994167,5211.0,180.0,Outdoor
45,True,Goodyear Ballpark,,,,,,,,,,,,,,,,,,,
46,True,AL City,,,,,,,,,,,,,,,,,,,
47,True,Pensacola Bayfront Stadium,,,,,,,,,,,,,,,,,,,
